Presença,HorasEstudo,Nota
"0,3745401188","5,683511952","56,88501864"
"0,9507143064","8,752341678","84,86638328"
"0,7319939418","6,900847676","83,33612383"
"0,5986584842","3,846192689","73,47835142"
"0,1560186404","3,203170657","38,58344468"
"0,1559945203","5,983838343","43,44050521"
"0,05808361217","2,359533586","34,25664487"
"0,8661761458","8,662917532",100
"0,6011150117","7,358880241","93,14560149"
"0,7080725778","4,061648696","71,7051472"
"0,0205844943","1,573730942","4,187631819"
"0,9699098522","7,707744748","91,95984385"
"0,8324426408","4,770920309","93,16041902"
"0,2123391107","7,475632624","26,30416372"
"0,1818249672","1,811144682","25,52754294"
"0,1834045099","3,801249954","18,34249416"
"0,304242243","5,010487399","38,87138063"
"0,5247564316","5,093961188","77,4302679"
"0,4319450186","4,099869057","46,13815871"
"0,2912291402","6,245699865","43,38527883"
"0,6118528947","2,864759141","20,97308743"
"0,1394938607","4,71524103","42,15566708"
"0,2921446485","5,240591263","51,40072759"
"0,3663618433","6,028877668","89,36231574"
"0,4560699842","6,423229756","46,90155338"
"0,7851759614","2,750715816","62,4964275"
"0,1996737822","1,931771659","24,69518724"
"0,5142344384","7,555353644","92,62454648"
"0,5924145689","5,664628024","56,29747558"
"0,04645041272","3,503026927","22,37956299"
"0,6075448519","8,102303951","81,01983711"
"0,1705241237","5,231349269","34,88902696"
"0,06505159299","7,358594368","24,40880076"
"0,9488855373","5,135036963","81,35507994"
"0,9656320331","9,12149585",100
"0,8083973481","8,510681685","62,01626164"
"0,3046137692","4,502071703","38,94450645"
"0,09767211401","6,943141902","19,63047815"
"0,6842330265","6,290751899","90,11792177"
"0,4401524937","7,737263115","26,89446399"
"0,1220382348","3,070153079","8,424469461"
"0,4951769101","6,37210292","62,74326379"
"0,03438852112","7,116848974","61,84118775"
"0,9093204021","1,482521027","59,17430301"
"0,2587799816","2,633482975","14,95674026"
"0,6625222844","0,9215356445","81,06062103"
"0,3117110761","4,461186331","7,587131881"
"0,5200680212","6,435084512","12,96830018"
"0,5467102793","8,004714104","73,62176218"
"0,1848544555","5,148189561","21,64294109"
"0,9695846278","8,257231091","70,77934569"
