Presença,HorasEstudo,Nota
0.3745401188,2.974337759,32.95745
0.9507143064,5.628494665,82.800064
0.7319939418,3.183951849,57.951267
0.5986584842,2.175392597,44.790115
0.1560186404,7.931297538,44.161804
0.1559945203,4.548447399,24.69879
0.05808361217,5.135056409,20.509508
0.8661761458,2.150503628,62.7456
0.6011150117,3.911234551,52.116886
0.7080725778,5.221845179,64.74353
0.0205844943,2.698012845,17.904613
0.9699098522,5.751396037,84.60283
0.8324426408,3.79872262,67.26796
0.2123391107,4.4166125,27.958336
0.1818249672,3.796586776,23.457981
0.1834045099,8.704556369,51.34989
0.304242243,4.973005551,36.457355
0.5247564316,2.884578142,42.72716
0.4319450186,6.645089824,51.97556
0.2912291402,2.5583127,27.386648
